16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
12,14,20,14,14,20,17,20,14,14,14,14,20,17,23,19,20,20,20,10
19,19,15,17,19,15,17,15,21,18,18,18,15,17,23,19,20,20,20,17
19,19,15,17,19,15,17,15,17,23,22,19,15,17,23,19,15,20,20,17
19,19,15,17,19,15,17,15,17,23,22,19,15,17,22,23,18,27,15,17
19,19,15,17,19,15,17,15,17,23,19,20,20,20,17,22,23,19,15,17
19,19,15,17,19,15,26,15,17,22,19,20,20,20,17,19,20,14,15,17
19,19,15,17,19,20,20,20,17,22,19,20,20,20,17,19,15,26,15,17
19,19,15,17,19,20,20,20,17,22,23,18,15,16,16,19,15,19,15,17
19,19,15,17,19,20,20,20,17,23,23,19,20,14,14,14,20,19,15,17
19,19,15,17,18,18,15,18,18,23,22,19,15,18,18,18,18,19,15,17
19,19,15,17,22,22,15,17,23,23,23,19,15,17,23,22,16,19,15,17
19,20,20,20,16,16,15,21,16,16,16,20,20,20,16,21,20,20,20,17
19,20,20,20,14,14,20,14,14,14,14,20,20,20,14,14,20,20,20,17
19,20,20,20,18,18,18,18,18,18,18,20,20,20,18,18,20,20,20,17
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
