16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
12,20,14,20,24,20,14,20,23,20,14,20,22,20,14,14,24,17,15,10
19,15,21,15,24,15,17,15,17,15,17,15,23,15,18,18,15,17,15,17
19,15,17,15,24,15,17,15,17,15,17,15,17,20,14,14,20,17,15,17
19,15,17,15,17,15,17,15,17,15,17,24,17,23,23,17,15,17,15,17
19,15,17,15,17,15,23,20,14,20,14,14,14,14,20,17,15,26,15,17
19,15,17,15,17,15,23,15,21,15,17,18,18,17,15,17,20,20,20,17
19,15,17,20,17,15,23,15,17,15,17,14,20,17,15,17,15,17,15,17
19,15,17,15,17,15,17,15,17,15,17,27,15,17,15,17,15,17,15,17
19,15,17,15,17,15,17,15,17,15,17,17,15,17,15,17,15,21,24,17
19,15,17,15,17,15,17,15,17,20,14,14,20,22,15,17,20,14,20,17
19,15,22,20,14,20,17,15,17,15,17,23,23,22,15,17,18,24,15,17
19,15,23,15,24,15,17,15,17,15,17,15,20,17,20,20,20,24,15,17
19,15,22,15,24,15,17,15,17,15,17,24,15,17,15,26,15,24,15,17
19,20,14,20,24,20,14,20,17,20,14,14,20,14,20,22,20,14,20,17
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
