19,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
19,23,23,14,14,14,23,20,14,20,22,15,22,15,23,23,22,20,22,17
19,20,14,20,23,15,23,15,22,20,14,20,22,20,14,14,14,20,20,17
19,15,23,15,23,15,23,15,24,22,22,20,14,20,22,22,22,27,15,17
19,15,23,15,22,15,21,20,14,20,22,15,26,15,22,20,20,20,20,17
19,15,23,15,22,20,20,20,22,15,22,15,23,15,22,20,20,22,15,17
19,15,23,15,23,15,23,15,22,15,22,15,23,15,22,10,20,22,15,17
19,15,23,23,23,15,23,15,22,15,22,15,23,15,22,22,22,20,20,17
19,20,14,20,22,15,22,15,22,15,22,15,23,20,20,20,23,15,22,17
19,22,22,15,23,15,22,15,22,20,20,20,23,15,23,15,23,15,22,17
12,20,23,15,22,15,23,15,22,15,21,15,23,15,23,15,23,20,20,17
19,15,23,15,23,15,23,15,22,15,22,15,22,15,23,20,20,23,15,17
19,15,23,15,23,15,23,15,22,15,22,20,14,20,23,23,15,23,15,17
19,15,23,15,21,15,23,15,22,15,22,15,23,20,14,20,20,23,15,17
19,20,14,20,14,20,23,20,14,20,22,15,23,23,23,22,20,14,20,17
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
